index,episode,map,start,action,psnr_dec,lpips_dec,copy_psnr_dec,latent_mse,hud_psnr_dec,psnr_raw,lpips_raw,copy_psnr_raw,vae_psnr,vae_lpips,hud_psnr_raw,hud_vae_psnr
190,0,1,501,9,25.492244720458984,0.21470680832862854,22.282604217529297,0.30491042137145996,34.159244537353516,23.72340965270996,0.22888493537902832,21.341745376586914,27.643390655517578,0.0657937228679657,31.270748138427734,33.550445556640625
302,0,1,709,7,19.42616081237793,0.34393540024757385,17.518787384033203,0.3196296691894531,30.294818878173828,18.675743103027344,0.348238080739975,16.97745704650879,26.53158187866211,0.06289460510015488,26.700443267822266,29.239351272583008
441,1,2,7,9,23.248069763183594,0.376345694065094,19.046802520751953,0.3805748522281647,31.28786849975586,21.228477478027344,0.3974829316139221,18.17165756225586,24.45183753967285,0.1003507673740387,31.0085391998291,32.47004318237305
503,1,2,69,28,16.013334274291992,0.5627409219741821,15.925165176391602,0.5142480731010437,30.862520217895508,15.647504806518555,0.5631930232048035,15.574895858764648,27.053386688232422,0.050316352397203445,29.783710479736328,33.09893798828125
507,1,2,73,2,21.412567138671875,0.34194767475128174,17.398826599121094,0.32979604601860046,34.94116973876953,20.093311309814453,0.36308735609054565,16.798974990844727,25.194095611572266,0.0686391144990921,31.631126403808594,33.255088806152344
713,1,2,343,22,18.312055587768555,0.38692256808280945,16.12302589416504,0.40756580233573914,36.886512756347656,17.79147720336914,0.40538015961647034,15.775821685791016,26.532459259033203,0.056520186364650726,33.29045104980469,34.3028678894043
757,1,2,387,6,24.13966941833496,0.2620236277580261,20.533523559570312,0.287921667098999,35.6062126159668,23.21530532836914,0.268697053194046,20.023649215698242,29.159757614135742,0.04191017523407936,31.69172477722168,33.505313873291016
777,1,2,407,9,22.213029861450195,0.27913060784339905,18.606002807617188,0.3371415138244629,36.82394790649414,21.462106704711914,0.29347050189971924,18.20374870300293,28.167789459228516,0.05915290489792824,31.4512939453125,32.22050476074219
789,1,2,419,7,22.931663513183594,0.269015371799469,20.8261661529541,0.3389635980129242,36.3062629699707,22.354263305664062,0.2798462212085724,20.42902946472168,30.351755142211914,0.05457375943660736,30.4447021484375,30.651037216186523
875,1,2,537,22,21.840009689331055,0.25400444865226746,20.67559051513672,0.34945568442344666,25.25566291809082,21.146324157714844,0.2657725214958191,20.059175491333008,27.976247787475586,0.0503377765417099,24.76386833190918,32.634002685546875
