index,episode,map,start,action,psnr_dec,lpips_dec,copy_psnr_dec,latent_mse,hud_psnr_dec,psnr_raw,lpips_raw,copy_psnr_raw,vae_psnr,vae_lpips,hud_psnr_raw,hud_vae_psnr
48,0,16,48,5,22.948543548583984,0.38681918382644653,22.491622924804688,0.34730419516563416,33.438018798828125,22.46044921875,0.39231687784194946,22.04863739013672,31.34088134765625,0.04755931347608566,29.909543991088867,31.66307830810547
69,0,16,69,15,20.140892028808594,0.43098533153533936,20.82839584350586,0.37436744570732117,33.44358444213867,19.74896240234375,0.44299739599227905,20.374792098999023,30.05573272705078,0.05052303522825241,30.47225570678711,32.428611755371094
88,0,16,88,7,20.681495666503906,0.4522168040275574,19.006425857543945,0.37645670771598816,34.328880310058594,20.362260818481445,0.455658495426178,18.745433807373047,31.028152465820312,0.04302008077502251,30.392513275146484,32.2767333984375
154,0,16,154,15,20.308229446411133,0.42417046427726746,20.116455078125,0.41311749815940857,35.339439392089844,19.567726135253906,0.4280860424041748,19.42350959777832,27.215662002563477,0.04149084910750389,30.907913208007812,31.70648193359375
156,0,16,156,6,19.555051803588867,0.34216535091400146,20.3896484375,0.4148499071598053,35.01474380493164,18.828996658325195,0.3519139289855957,19.50452995300293,26.764507293701172,0.045700281858444214,32.07304382324219,32.477806091308594
308,0,16,372,22,19.40620231628418,0.538867712020874,19.037662506103516,0.44265231490135193,31.07052230834961,18.906797409057617,0.5547652840614319,18.570573806762695,27.65076446533203,0.06694433838129044,30.16864585876465,30.41274642944336
322,0,16,386,9,22.456584930419922,0.44057634472846985,20.425966262817383,0.36955657601356506,32.63238525390625,21.24070167541504,0.4654531478881836,19.569124221801758,26.30496597290039,0.07125372439622879,30.00358772277832,31.488731384277344
452,0,16,516,9,18.900676727294922,0.4815836250782013,17.968952178955078,0.4302022457122803,29.447772979736328,18.118017196655273,0.49224981665611267,17.316463470458984,25.180194854736328,0.06129251420497894,27.642343521118164,29.385061264038086
536,0,16,600,15,19.328853607177734,0.48416608572006226,13.901985168457031,0.43028363585472107,29.24274444580078,18.620092391967773,0.4894246757030487,13.667448043823242,26.30674171447754,0.0467318519949913,26.62703514099121,28.213970184326172
701,0,16,765,9,15.56583023071289,0.4447667598724365,15.859834671020508,0.416335791349411,27.400409698486328,15.152166366577148,0.4643213450908661,15.429349899291992,25.198070526123047,0.06609655171632767,25.127761840820312,27.977054595947266
763,0,16,827,22,16.245208740234375,0.5215891599655151,17.21463966369629,0.46410322189331055,29.366649627685547,15.650320053100586,0.543178141117096,16.46126937866211,23.94405174255371,0.09004571288824081,27.082555770874023,28.496936798095703
772,0,16,836,9,16.1434383392334,0.5408331751823425,16.49820327758789,0.4674663543701172,22.021297454833984,15.65401554107666,0.5527835488319397,15.951367378234863,25.169971466064453,0.06512659788131714,21.188369750976562,27.73479461669922
798,0,16,862,6,20.79115104675293,0.3305398225784302,21.84556007385254,0.36851128935813904,28.7917423248291,20.20130157470703,0.3350904583930969,21.092626571655273,28.15364646911621,0.04226023703813553,25.99715805053711,27.146259307861328
821,0,16,917,5,24.71352767944336,0.38387376070022583,22.45395851135254,0.2966594696044922,33.77914047241211,23.041202545166016,0.3911970853805542,21.308597564697266,26.868633270263672,0.08326733112335205,30.242406845092773,30.114152908325195
913,0,16,1009,15,22.666215896606445,0.40804773569107056,22.658935546875,0.3677968978881836,28.289264678955078,21.427114486694336,0.42360538244247437,21.423694610595703,26.445053100585938,0.07605281472206116,25.634063720703125,27.872913360595703
914,0,16,1010,15,22.244279861450195,0.47098714113235474,21.779766082763672,0.37996459007263184,29.34783935546875,21.07144546508789,0.47647207975387573,20.705564498901367,26.30059242248535,0.07819073647260666,26.55973243713379,27.991464614868164
927,0,16,1023,15,22.272348403930664,0.4555968642234802,19.644010543823242,0.36318740248680115,27.418254852294922,21.063329696655273,0.4806128442287445,18.896595001220703,26.174123764038086,0.08806481212377548,25.393253326416016,26.459062576293945
964,0,16,1060,15,23.47734260559082,0.4658660292625427,23.675457000732422,0.379213809967041,25.41091537475586,22.135948181152344,0.4893012046813965,22.06856918334961,26.553876876831055,0.09587176144123077,24.32164192199707,26.59781265258789
1086,0,16,1214,22,18.203603744506836,0.4705679714679718,16.915510177612305,0.42193007469177246,30.617544174194336,17.498830795288086,0.48415032029151917,16.336467742919922,25.096420288085938,0.07619412243366241,28.57175064086914,29.795093536376953
1190,1,17,76,14,16.32957649230957,0.5007019639015198,15.013228416442871,0.49893203377723694,32.1672477722168,15.907927513122559,0.5136632323265076,14.699413299560547,26.1082763671875,0.08177334815263748,29.58011817932129,31.151290893554688
1195,1,17,81,15,20.157512664794922,0.38375020027160645,17.14592742919922,0.4117811322212219,33.48331069946289,18.79827880859375,0.390293687582016,16.39515495300293,23.944128036499023,0.07903127372264862,29.181236267089844,31.183259963989258
1205,1,17,91,9,24.480571746826172,0.4617786705493927,20.76012420654297,0.41295623779296875,34.61603927612305,23.024150848388672,0.47869187593460083,20.056053161621094,27.829193115234375,0.07849229872226715,29.65681266784668,30.647363662719727
1284,1,17,170,9,21.231481552124023,0.4730599522590637,20.825855255126953,0.4026038646697998,33.9283447265625,20.09935760498047,0.4913944602012634,19.77474594116211,25.940261840820312,0.07330121099948883,29.037771224975586,30.517311096191406
1438,1,17,324,15,18.701189041137695,0.42109572887420654,20.06157875061035,0.4150507152080536,32.375160217285156,18.081682205200195,0.4231950640678406,19.2152099609375,26.686351776123047,0.05779443681240082,26.914520263671875,28.484800338745117
